"","fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
"1040",8.9,0.5,0.21,2.2,0.088,21,39,0.99692,3.33,0.83,11.1,6
"230",6.9,0.52,0.25,2.6,0.081,10,37,0.99685,3.46,0.5,11,5
"351",10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,6
"1194",6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,5
"37",7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6
"28",7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5
"434",12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,5
"904",6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,7
"125",7.8,0.5,0.17,1.6,0.082,21,102,0.996,3.39,0.48,9.5,5
"342",10.6,0.42,0.48,2.7,0.065,5,18,0.9972,3.21,0.87,11.3,6
"1327",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
"955",7.6,0.43,0.4,2.7,0.082,6,11,0.99538,3.44,0.54,12.2,6
"932",7.4,0.61,0.01,2,0.074,13,38,0.99748,3.48,0.65,9.8,5
"1164",9,0.785,0.24,1.7,0.078,10,21,0.99692,3.29,0.67,10,5
"879",8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6
"1324",9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7
"962",7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5
"470",8.7,0.82,0.02,1.2,0.07,36,48,0.9952,3.2,0.58,9.8,5
"1378",5.2,0.49,0.26,2.3,0.09,23,74,0.9953,3.71,0.62,12.2,6
"1409",8.1,0.29,0.36,2.2,0.048,35,53,0.995,3.27,1.01,12.4,7
"1171",9.2,0.36,0.34,1.6,0.062,5,12,0.99667,3.2,0.67,10.5,6
"759",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
"1359",7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,5
"853",8,0.42,0.32,2.5,0.08,26,122,0.99801,3.22,1.07,9.7,5
"1397",8.7,0.675,0.1,1.6,0.09,4,11,0.99745,3.31,0.65,9.55,5
"682",8,0.45,0.23,2.2,0.094,16,29,0.9962,3.21,0.49,10.2,6
"52",6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6
"997",5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,7
"401",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
"1290",7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,5
